,search_date,title,address,floor_info,price,layout,building_area,building_use
271,2018-05-10,星光CITY精美二房附傢具即可入住,新北市新莊區新北大道七段,7F/8F,"18,000元/月",2房2廳1衛1陽臺,24.0,電梯大樓/整層住家
275,2018-05-11,高雄醫學院旁整層公寓出租四房附傢俱家電,高雄市三民區永年街,5F/5F,"15,000元/月",4房2廳2衛1陽臺,36.4,公寓/整層住家
278,2018-05-12,立即入住新店中央新村一層一戶雙車位的好宅,新北市新店區中央六街,3F/5F,"35,000元/月",3房2廳2衛1陽臺,49.99,電梯大樓/整層住家
280,2018-05-12,SUPERONE+輕工業風+家電齊全,高雄市楠梓區秀群路,6F/15F,"20,000元/月",3房2廳2衛1陽臺,39.01,電梯大樓/整層住家
281,2018-05-12,"後站近家樂福,生活機能佳,後興路元邦華府",桃園市中壢區龍安五街,7F/7F,"12,500元/月",3房2廳2衛1陽臺,33.0,電梯大樓/整層住家
283,2018-05-13,宜蘭最受歡迎旗艦宅,宜蘭縣五結鄉清水路,4F/13F,"26,000元/月",3房2廳1衛1陽臺,48.26,電梯大樓/整層住家
288,2018-05-13,全新未住4房2廳2衛1景觀陽台（免仲介費,台中市北屯區軍福十三路,11F/11F,"22,000元/月",4房2廳2衛1陽臺,34.0,電梯大樓/整層住家
289,2018-05-12,"優質住家,近公園學校夜市",新竹市東區建功一路,3F/12F,"18,000元/月",3房1廳1衛0陽臺,32.0,電梯大樓/整層住家
291,2018-05-14,屋主自租-全新裝潢四樓美寓（含傢俱）,台中市西區忠義街,4F/5F,"15,000元/月",2房2廳1衛3陽臺,20.0,公寓/整層住家
296,2018-05-15,☆行天宮捷運三分☆新兩房兩衛必租☆公司可,台北市中山區民權東路二段,9F/12F,"36,000元/月",2房1廳2衛1陽臺,20.0,電梯大樓/住辦
304,2018-05-13,純住家很安靜在金美國小的附近生活機能好,新北市金山區忠孝一路,3F/4F,"10,000元/月",2房1廳1衛0陽臺,28.0,公寓/整層住家
305,2018-05-14,台南龍翔電梯大樓2房1廳,台南市北區正覺街,5F/7F,"7,000元/月",2房1廳1衛1陽臺,16.0,電梯大樓/整層住家
310,2018-05-14,煙波儷舍。近園區青草湖高速公路，有車位。,新竹市東區柴橋路,2F/10F,"12,000元/月",2房2廳1衛1陽臺,19.0,電梯大樓/整層住家
317,2018-05-15,正義市場全棟透天住家店面皆適合,高雄市苓雅區文昌路,整棟/4F,"30,000元/月",4房2廳2衛0陽臺,80.0,透天厝/住辦
